LANCER_GODOT: --headless ajouté (pas de --rendu : aucun affichage disponible).
LANCER_GODOT: VERROU=/home/user/Zelda/.git/heavy_tools.lock
LANCER_GODOT: XDG_DATA_HOME=/tmp/lancer_godot_ud_lyGyBRW7
LANCER_GODOT: CWD=/home/user/Zelda
LANCER_GODOT: CMD=/usr/local/bin/godot --headless --path . --script tools/godot/probe_camp_braise_navmesh.gd
Godot Engine v4.7.1.stable.custom_build.a13da4feb (2026-07-13 21:00:28 UTC) - https://godotengine.org

[camp] région r05_terrasse_du_camp : x[8.0, 64.0] z[40.0, 100.0]
[camp] encounters (normatif) : garnison braise du camp
[hameau] implantation vérifiée : 3 toiture(s), 10 collider(s), 24 appui(s) — aucune faute.
[world_v2] monde        : neris_v2 (vallée whitebox V2.1)
[world_v2] carte        : 31 lieux + 3 sites systémiques, valide
[world_v2] terrain      : 64 chunks, montage 12197 ms
[world_v2] navigation   : 4 région(s) chargée(s)
[world_v2] lieux        : 15 scène(s) posée(s) par le layout
[world_v2] spawn        : (0.0, 24.4, 170.0)
[world_v2] porte donjon : posée au seuil §3.3
[world_v2] arrivée      : spawn
[world_v2] héros posé   : (0.0, 24.4, 170.0) lacet=0.00
WARNING: Navigation region synchronization had 2 edge error(s).
More than 2 edges tried to occupy the same map rasterization space.
This causes a logical error in the navigation mesh geometry and is commonly caused by overlap or too densely placed edges.
Consider baking with a higher 'cell_size', greater geometry margin, and less detailed bake objects to cause fewer edges.
Consider lowering the 'navigation/3d/merge_rasterizer_cell_scale' in the project settings.
This warning can be toggled under 'navigation/3d/warnings/navmesh_edge_merge_errors' in the project settings.
     at: _build_step_find_edge_connection_pairs (modules/navigation_3d/3d/nav_region_builder_3d.cpp:219)
WARNING: Navigation region synchronization had 38 edge error(s).
More than 2 edges tried to occupy the same map rasterization space.
This causes a logical error in the navigation mesh geometry and is commonly caused by overlap or too densely placed edges.
Consider baking with a higher 'cell_size', greater geometry margin, and less detailed bake objects to cause fewer edges.
Consider lowering the 'navigation/3d/merge_rasterizer_cell_scale' in the project settings.
This warning can be toggled under 'navigation/3d/warnings/navmesh_edge_merge_errors' in the project settings.
     at: _build_step_find_edge_connection_pairs (modules/navigation_3d/3d/nav_region_builder_3d.cpp:219)
[world_v2] sol          : c4r6 à y=24.00
[world_v2] fondation V2 vérifiée — vallée whitebox prête.
[camp] spawn du héros : (0.0, 24.4, 170.0)
[camp] (  56.0,   68.0) -> nav (  56.0,  6.39,   68.0) ecart_h= 0.04 POSABLE bout=0.00
[camp] (  56.0,   72.0) -> nav (  56.0,  6.32,   72.0) ecart_h= 0.01 POSABLE bout=0.00
[camp] (  56.0,   76.0) -> nav (  56.0,  6.08,   76.0) ecart_h= 0.02 POSABLE bout=0.00
[camp] (  56.0,   80.0) -> nav (  55.9,  5.27,   79.9) ecart_h= 0.18 POSABLE bout=0.00
[camp] (  56.0,   84.0) -> nav (  55.7,  4.13,   83.6) ecart_h= 0.48 POSABLE bout=0.00
[camp] (  56.0,   88.0) -> nav (  56.0,  3.51,   88.0) ecart_h= 0.04 POSABLE bout=0.00
[camp] (  56.0,   92.0) -> nav (  56.0,  3.55,   92.0) ecart_h= 0.03 POSABLE bout=0.00
[camp] (  56.0,   96.0) -> nav (  56.0,  3.57,   96.0) ecart_h= 0.05 POSABLE bout=0.00
[camp] (  56.0,  100.0) -> nav (  56.0,  3.58,  100.0) ecart_h= 0.05 POSABLE bout=0.00
[camp] (  60.0,   40.0) -> nav (  59.9,  2.93,   40.0) ecart_h= 0.07 POSABLE bout=0.00
[camp] (  60.0,   44.0) -> nav (  59.9,  3.05,   43.9) ecart_h= 0.13 POSABLE bout=0.00
[camp] (  60.0,   48.0) -> nav (  59.7,  3.80,   48.4) ecart_h= 0.48 POSABLE bout=0.00
[camp] (  60.0,   52.0) -> nav (  59.5,  4.66,   52.3) ecart_h= 0.60 POSABLE bout=0.00
[camp] (  60.0,   56.0) -> nav (  59.8,  5.42,   56.1) ecart_h= 0.22 POSABLE bout=0.00
[camp] (  60.0,   60.0) -> nav (  60.0,  5.89,   60.0) ecart_h= 0.03 POSABLE bout=0.00
[camp] (  60.0,   64.0) -> nav (  60.0,  5.96,   64.0) ecart_h= 0.01 POSABLE bout=0.00
[camp] (  60.0,   68.0) -> nav (  60.0,  5.99,   68.0) ecart_h= 0.00 POSABLE bout=0.00
[camp] (  60.0,   72.0) -> nav (  59.9,  5.65,   72.0) ecart_h= 0.11 POSABLE bout=0.00
[camp] (  60.0,   76.0) -> nav (  59.7,  5.11,   75.8) ecart_h= 0.30 POSABLE bout=0.00
[camp] (  60.0,   80.0) -> nav (  59.6,  4.36,   79.5) ecart_h= 0.66 POSABLE bout=0.00
[camp] (  60.0,   84.0) -> nav (  59.7,  3.58,   83.6) ecart_h= 0.51 POSABLE bout=0.00
[camp] (  60.0,   88.0) -> nav (  60.0,  3.51,   88.0) ecart_h= 0.04 POSABLE bout=0.00
[camp] (  60.0,   92.0) -> nav (  60.0,  3.57,   92.0) ecart_h= 0.03 POSABLE bout=0.00
[camp] (  60.0,   96.0) -> nav (  60.0,  3.62,   96.0) ecart_h= 0.03 POSABLE bout=0.00
[camp] (  60.0,  100.0) -> nav (  60.0,  3.66,  100.0) ecart_h= 0.04 POSABLE bout=0.00
[camp] (  64.0,   40.0) -> nav (  63.9,  2.85,   40.0) ecart_h= 0.07 POSABLE bout=0.00
[camp] (  64.0,   44.0) -> nav (  63.9,  2.95,   43.9) ecart_h= 0.14 POSABLE bout=0.00
[camp] (  64.0,   48.0) -> nav (  63.6,  3.24,   48.5) ecart_h= 0.68 POSABLE bout=0.00
[camp] (  64.0,   52.0) -> nav (  63.5,  3.69,   52.3) ecart_h= 0.61 POSABLE bout=0.00
[camp] (  64.0,   56.0) -> nav (  63.4,  4.25,   56.4) ecart_h= 0.75 POSABLE bout=0.00
[camp] (  64.0,   60.0) -> nav (  63.5,  4.72,   60.1) ecart_h= 0.53 POSABLE bout=0.00
[camp] (  64.0,   64.0) -> nav (  63.6,  4.92,   64.0) ecart_h= 0.43 POSABLE bout=0.00
[camp] (  64.0,   68.0) -> nav (  63.6,  4.85,   67.9) ecart_h= 0.39 POSABLE bout=0.00
[camp] (  64.0,   72.0) -> nav (  63.6,  4.65,   71.8) ecart_h= 0.41 POSABLE bout=0.00
[camp] (  64.0,   76.0) -> nav (  63.5,  4.11,   75.8) ecart_h= 0.53 POSABLE bout=0.00
[camp] (  64.0,   80.0) -> nav (  63.6,  3.68,   79.9) ecart_h= 0.38 POSABLE bout=0.00
[camp] (  64.0,   84.0) -> nav (  64.0,  3.37,   84.1) ecart_h= 0.11 POSABLE bout=0.00
[camp] (  64.0,   88.0) -> nav (  64.0,  3.51,   88.0) ecart_h= 0.04 POSABLE bout=0.00
[camp] (  64.0,   92.0) -> nav (  64.0,  3.57,   92.0) ecart_h= 0.03 POSABLE bout=0.00
[camp] (  64.0,   96.0) -> nav (  64.0,  3.62,   96.0) ecart_h= 0.03 POSABLE bout=0.00
[camp] (  64.0,  100.0) -> nav (  64.0,  3.68,  100.0) ecart_h= 0.03 POSABLE bout=0.00
[camp] ---------------------------------------------
[camp] 240 points sondés, 239 sur navmesh, 238 ATTEIGNABLES depuis le spawn
[camp] dix meilleurs candidats (écart au navmesh croissant) :
[camp]   (8.00, 4.25, 40.00)  ecart_h=0.000  bout=0.00
[camp]   (8.00, 6.50, 44.00)  ecart_h=0.000  bout=3.09
[camp]   (36.00, 6.25, 56.00)  ecart_h=0.000  bout=0.00
[camp]   (32.00, 6.25, 60.00)  ecart_h=0.000  bout=0.00
[camp]   (28.00, 4.00, 44.00)  ecart_h=0.000  bout=0.00
[camp]   (24.00, 4.00, 44.00)  ecart_h=0.000  bout=0.00
[camp]   (12.00, 4.25, 40.00)  ecart_h=0.000  bout=0.00
[camp]   (60.00, 5.99, 68.00)  ecart_h=0.002  bout=0.00
[camp]   (36.00, 6.01, 52.00)  ecart_h=0.002  bout=0.00
[camp]   (44.00, 6.28, 56.00)  ecart_h=0.003  bout=0.00
[camp] FIN NOMINALE
WARNING: 102 ObjectDB instances were leaked at exit (run with `--verbose` for details).
   at: cleanup (core/object/object.cpp:2536)
ERROR: 54 resources still in use at exit (run with --verbose for details).
   at: clear (core/io/resource.cpp:822)
ERROR: Pages in use exist at exit in PagedAllocator: N12VariantPools12BucketMediumE
   at: ~PagedAllocator (./core/templates/paged_allocator.h:170)
ERROR: Pages in use exist at exit in PagedAllocator: N12VariantPools11BucketSmallE
   at: ~PagedAllocator (./core/templates/paged_allocator.h:170)
LANCER_GODOT: RC_GODOT=0
RC=0
